BorderStyle,BorderThickness,ChEBI,Color,Ensembl,FillColor,GraphID,Height,IsGPMLShape,LabelFont,LabelSize,name,selected,Shape,shared name,Transparent,Type,Width,XrefDatasource,XrefId
,1,,#666666,ENSG00000094631,#ffffff,f2d89,25,,Arial Bold,13,HDAC6,FALSE,Rectangle,HDAC6,FALSE,GeneProduct,90,Ensembl,ENSG00000094631
,1,,#000000,ENSG00000116017,#ffffff,e4a31,25,,Arial,13,ARID3A,FALSE,Rectangle,ARID3A,FALSE,Protein,90,Ensembl,ENSG00000116017
,1,,#000000,ENSG00000123240,#ffffff,f6126,25,,Arial,13,OPTN,FALSE,Rectangle,OPTN,FALSE,GeneProduct,90,Ensembl,ENSG00000123240
,1,,#000000,ENSG00000116288,#ffffff,fbf9c,25,,Arial,13,PARK7,FALSE,Rectangle,PARK7,FALSE,GeneProduct,90,Ensembl,ENSG00000116288
,1,,#000000,ENSG00000113580,#ffffff,b12af,25,,Arial,13,"NR3C1
",FALSE,Rectangle,"NR3C1
",FALSE,GeneProduct,90,Ensembl,ENSG00000113580
,1,,#000000,ENSG00000134086,#ffffff,a0780,25,,Arial,13,VHL,FALSE,Rectangle,VHL,FALSE,GeneProduct,90,Ensembl,ENSG00000134086
,1,,#000000,ENSG00000101367,#ffffff,f0a6d,25,,Arial,13,"MAPRE1

",FALSE,Rectangle,"MAPRE1

",FALSE,GeneProduct,90,Ensembl,ENSG00000101367
,1,,#000000,ENSG00000138107,#ffffff,fb982,25,,Arial,13,"ACTR1A
",FALSE,Rectangle,"ACTR1A
",FALSE,GeneProduct,90,Ensembl,ENSG00000138107
,1,,#000000,ENSG00000160145,#ffffff,ddfca,25,,Arial,13,KALRN,FALSE,Rectangle,KALRN,FALSE,GeneProduct,90,Ensembl,ENSG00000160145
,1,,#000000,ENSG00000122691,#ffffff,d4c1f,25,,Arial,13,"TWIST1

",FALSE,Rectangle,"TWIST1

",FALSE,GeneProduct,90,Ensembl,ENSG00000122691
,1,,#000000,ENSG00000165168,#ffffff,e19d0,25,,Arial,13,CYBB,FALSE,Rectangle,CYBB,FALSE,GeneProduct,90,Ensembl,ENSG00000165168
,1,,#000000,ENSG00000066427,#ffffff,c58da,25,,Arial,13,"ATXN3
",FALSE,Rectangle,"ATXN3
",FALSE,GeneProduct,90,Ensembl,ENSG00000066427
,1,,#000000,ENSG00000185345,#ffffff,f4f2a,25,,Arial,13,"PRKN

",FALSE,Rectangle,"PRKN

",FALSE,GeneProduct,90,Ensembl,ENSG00000185345
,1,,#000000,ENSG00000176697,#ffffff,ff651,25,,Arial,13,BDNF,FALSE,Rectangle,BDNF,FALSE,GeneProduct,90,Ensembl,ENSG00000176697
,1,,#000000,ENSG00000130203,#ffffff,b2c8f,25,,Arial,13,"APOE

",FALSE,Rectangle,"APOE

",FALSE,GeneProduct,90,Ensembl,ENSG00000130203
,1,,#000000,ENSG00000214413,#ffffff,fccab,25,,Arial,13,"BBIP1

",FALSE,Rectangle,"BBIP1

",FALSE,GeneProduct,90,Ensembl,ENSG00000214413
,1,,#000000,ENSG00000175387,#ffffff,da8c4,25,,Arial,13,"SMAD2
",FALSE,Rectangle,"SMAD2
",FALSE,GeneProduct,90,Ensembl,ENSG00000175387
,1,,#000000,ENSG00000186868,#ffffff,df727,25,,Arial,13,"MAPT
",FALSE,Rectangle,"MAPT
",FALSE,GeneProduct,90,Ensembl,ENSG00000186868
,1,,#000000,ENSG00000117399,#ffffff,a6f6a,25,,Arial,13,"CDC20

",FALSE,Rectangle,"CDC20

",FALSE,GeneProduct,90,Ensembl,ENSG00000117399
,1,,#000000,ENSG00000026025,#ffffff,e24d7,25,,Arial,13,VIM,FALSE,Rectangle,VIM,FALSE,Protein,90,Ensembl,ENSG00000026025
,1,,#000000,ENSG00000163517,#ffffff,fa36c,25,,Arial,13,"HDAC11
",FALSE,Rectangle,"HDAC11
",FALSE,GeneProduct,90,Ensembl,ENSG00000163517
,1,,#000000,ENSG00000048052,#ffffff,fc69d,25,,Arial,13,HDAC9,FALSE,Rectangle,HDAC9,FALSE,GeneProduct,90,Ensembl,ENSG00000048052
,1,,#000000,ENSG00000136238,#ffffff,aad9b,25,,Arial,13,RAC1,FALSE,Rectangle,RAC1,FALSE,GeneProduct,90,Ensembl,ENSG00000136238
,1,,#000000,ENSG00000132535,#ffffff,ac931,25,,Arial,13,"DLG4

",FALSE,Rectangle,"DLG4

",FALSE,GeneProduct,90,Ensembl,ENSG00000132535
,1,,#000000,ENSG00000146755,#ffffff,edb66,25,,Arial,13,"TRIM50				",FALSE,Rectangle,"TRIM50				",FALSE,GeneProduct,90,Ensembl,ENSG00000146755
,1,,#000000,ENSG00000150672,#ffffff,c6882,25,,Arial,13,"DLG2
",FALSE,Rectangle,"DLG2
",FALSE,GeneProduct,90,Ensembl,ENSG00000150672
,1,,#000000,ENSG00000131711,#ffffff,d15db,25,,Arial,13,MAP1B,FALSE,Rectangle,MAP1B,FALSE,Protein,90,Ensembl,ENSG00000131711
