"BorderStyle","BorderThickness","ChEBI","Color","Ensembl","FillColor","GraphID","Height","IsGPMLShape","LabelFont","LabelSize","name","selected","Shape","shared name","Transparent","Type","Width","XrefDatasource","XrefId"
,"1.0",,"#000000","ENSG00000094631","#ffffff","e5d83","25.0",,"Arial","13.0","HDAC6","false","Rectangle","HDAC6","false","GeneProduct","90.0","Ensembl","ENSG00000094631"
,"1.0",,"#000000","ENSG00000186868","#ffffff","e24d3","25.0",,"Arial","13.0","MAPT
","false","Rectangle","MAPT
","false","GeneProduct","90.0","Ensembl","ENSG00000186868"
,"1.0",,"#000000","ENSG00000134982","#ffffff","b8e73","25.0",,"Arial","13.0","APC","false","Rectangle","APC","false","GeneProduct","90.0","Ensembl","ENSG00000134982"
,"1.0",,"#000000","ENSG00000117399","#ffffff","cdd56","25.0",,"Arial","13.0","CDC20

","false","Rectangle","CDC20

","false","GeneProduct","90.0","Ensembl","ENSG00000117399"
,"1.0",,"#000000","ENSG00000163517","#ffffff","f09b2","25.0",,"Arial","13.0","HDAC11
","false","Rectangle","HDAC11
","false","GeneProduct","90.0","Ensembl","ENSG00000163517"
,"1.0",,"#000000","ENSG00000080824","#ffffff","f205d","25.0",,"Arial","13.0","HSP90AA1","false","Rectangle","HSP90AA1","false","GeneProduct","90.0","Ensembl","ENSG00000080824"
,"1.0",,"#000000","ENSG00000172531","#ffffff","b9570","25.0",,"Arial","13.0","PPP1CA","false","Rectangle","PPP1CA","false","GeneProduct","90.0","Ensembl","ENSG00000172531"
,"1.0",,"#000000","ENSG00000185122","#ffffff","c2ae6","25.0",,"Arial","13.0","HSF1
","false","Rectangle","HSF1
","false","GeneProduct","90.0","Ensembl","ENSG00000185122"
,"1.0",,"#000000","ENSG00000094631","#ffffff","f48bb","25.0",,"Arial","13.0","HDAC6","false","Rectangle","HDAC6","false","GeneProduct","90.0","Ensembl","ENSG00000094631"
,"1.0",,"#000000","ENSG00000094631","#ffffff","bd523","25.0",,"Arial","13.0","HDAC6","false","Rectangle","HDAC6","false","GeneProduct","90.0","Ensembl","ENSG00000094631"
,"1.0",,"#000000","ENSG00000094631","#ffffff","ec087","25.0",,"Arial","13.0","HDAC6","false","Rectangle","HDAC6","false","GeneProduct","90.0","Ensembl","ENSG00000094631"
,"1.0",,"#000000","ENSG00000134086","#ffffff","af77a","25.0",,"Arial","13.0","VHL","false","Rectangle","VHL","false","GeneProduct","90.0","Ensembl","ENSG00000134086"
