"BorderStyle","BorderThickness","ChEBI","Color","Ensembl","FillColor","GraphID","Height","IsGPMLShape","LabelFont","LabelSize","name","selected","Shape","shared name","Transparent","Type","Width","XrefDatasource","XrefId"
,"1.0",,"#000000","ENSG00000080824","#ffffff","b70d4","25.0",,"Arial","13.0","HSP90AA1","false","Rectangle","HSP90AA1","false","GeneProduct","90.0","Ensembl","ENSG00000080824"
,"1.0",,"#000000","ENSG00000196230","#ffffff","d910f","25.0",,"Arial","13.0","TUBB
","false","Rectangle","TUBB
","false","GeneProduct","90.0","Ensembl","ENSG00000196230"
,"1.0",,"#000000","ENSG00000196419","#ffffff","d5930","25.0",,"Arial","13.0","XRCC6

","false","Rectangle","XRCC6

","false","GeneProduct","90.0","Ensembl","ENSG00000196419"
,"1.0",,"#000000","ENSG00000258947","#ffffff","dbc08","25.0",,"Arial","13.0","TUBB3
","false","Rectangle","TUBB3
","false","GeneProduct","90.0","Ensembl","ENSG00000258947"
,"1.0",,"#000000","ENSG00000014641","#ffffff","d0085","25.0",,"Arial","13.0","MDH1","false","Rectangle","MDH1","false","Protein","90.0","Ensembl","ENSG00000014641"
,"1.0",,"#000000","ENSG00000087088","#ffffff","cb227","25.0",,"Arial","13.0","BAX
","false","Rectangle","BAX
","false","GeneProduct","90.0","Ensembl","ENSG00000087088"
,"1.0",,"#000000","ENSG00000167553","#ffffff","b0b9d","25.0",,"Arial","13.0","TUBA1C","false","Rectangle","TUBA1C","false","GeneProduct","90.0","Ensembl","ENSG00000167553"
,"1.0",,"#000000","ENSG00000167792","#ffffff","d14b6","25.0",,"Arial","13.0","NDUFV1","false","Rectangle","NDUFV1","false","Protein","90.0","Ensembl","ENSG00000167792"
,"1.0",,"#000000","ENSG00000198033","#ffffff","b44d3","25.0",,"Arial","13.0","TUBA3C","false","Rectangle","TUBA3C","false","GeneProduct","90.0","Ensembl","ENSG00000198033"
,"1.0",,"#000000","ENSG00000240972","#ffffff","d456c","25.0",,"Arial","13.0","MIF","false","Rectangle","MIF","false","Protein","90.0","Ensembl","ENSG00000240972"
,"1.0",,"#000000","ENSG00000101665","#ffffff","f9e02","25.0",,"Arial","13.0","SMAD7","false","Rectangle","SMAD7","false","GeneProduct","90.0","Ensembl","ENSG00000101665"
,"1.0",,"#000000","ENSG00000126858","#ffffff","feb11","25.0",,"Arial","13.0","RHOT1","false","Rectangle","RHOT1","false","Protein","90.0","Ensembl","ENSG00000126858"
,"1.0",,"#000000",,"#ffffff","d3839","25.0",,"Arial","13.0","tat","false","Rectangle","tat","false","GeneProduct","90.0","Uniprot-SwissProt","155871"
,"1.0",,"#000000","ENSG00000113300","#ffffff","f35e3","25.0",,"Arial","13.0","CNOT6","false","Rectangle","CNOT6","false","Protein","90.0","Ensembl","ENSG00000113300"
,"1.0",,"#000000","ENSG00000127824","#ffffff","cead7","25.0",,"Arial","13.0","TUBA4A","false","Rectangle","TUBA4A","false","GeneProduct","90.0","Ensembl","ENSG00000127824"
,"1.0",,"#000000","ENSG00000109971","#ffffff","b389c","25.0",,"Arial","13.0","HSPA8
","false","Rectangle","HSPA8
","false","GeneProduct","90.0","Ensembl","ENSG00000109971"
,"1.0",,"#000000","ENSG00000142208","#ffffff","c3812","25.0",,"Arial","13.0","AKT1

","false","Rectangle","AKT1

","false","GeneProduct","90.0","Ensembl","ENSG00000142208"
,"1.0",,"#000000","ENSG00000161011","#ffffff","ee932","25.0",,"Arial","13.0","SQSTM1

","false","Rectangle","SQSTM1

","false","GeneProduct","90.0","Ensembl","ENSG00000161011"
,"1.0",,"#000000","ENSG00000185591","#ffffff","b8f9e","25.0",,"Arial","13.0","SP1","false","Rectangle","SP1","false","GeneProduct","90.0","Ensembl","ENSG00000185591"
,"1.0",,"#000000","ENSG00000171791","#ffffff","a43b7","25.0",,"Arial","13.0","BCL2
","false","Rectangle","BCL2
","false","GeneProduct","90.0","Ensembl","ENSG00000171791"
,"1.0",,"#000000","ENSG00000049768","#ffffff","e1717","25.0",,"Arial","13.0","FOXP3","false","Rectangle","FOXP3","false","GeneProduct","90.0","Ensembl","ENSG00000049768"
,"1.0",,"#000000","ENSG00000087088","#ffffff","eae25","25.0",,"Arial","13.0","BAX
","false","Rectangle","BAX
","false","GeneProduct","90.0","Ensembl","ENSG00000087088"
,"1.0",,"#000000","ENSG00000100644","#ffffff","e8280","25.0",,"Arial","13.0","HIF1A
","false","Rectangle","HIF1A
","false","GeneProduct","90.0","Ensembl","ENSG00000100644"
,"1.0",,"#000000","ENSG00000106105","#ffffff","c4dab","25.0",,"Arial","13.0","GARS1
","false","Rectangle","GARS1
","false","GeneProduct","90.0","Ensembl","ENSG00000106105"
,"1.0",,"#000000","ENSG00000100345","#ffffff","aa850","25.0",,"Arial","13.0","MYH9","false","Rectangle","MYH9","false","GeneProduct","90.0","Ensembl","ENSG00000100345"
,"1.0",,"#000000","ENSG00000106211","#ffffff","e6734","25.0",,"Arial","13.0","HSPB1
","false","Rectangle","HSPB1
","false","GeneProduct","90.0","Ensembl","ENSG00000106211"
,"1.0",,"#000000","ENSG00000089685","#ffffff","f6a3d","25.0",,"Arial","13.0","BIRC5","false","Rectangle","BIRC5","false","GeneProduct","90.0","Ensembl","ENSG00000089685"
,"1.0",,"#000000","ENSG00000085733","#ffffff","bd890","25.0",,"Arial","13.0","CTTN
","false","Rectangle","CTTN
","false","GeneProduct","90.0","Ensembl","ENSG00000085733"
,"1.0",,"#000000","ENSG00000168036","#ffffff","e9d1f","25.0",,"Arial","13.0","CTNNB1

","false","Rectangle","CTNNB1

","false","GeneProduct","90.0","Ensembl","ENSG00000168036"
,"1.0",,"#000000","ENSG00000196419","#ffffff","c7613","25.0",,"Arial","13.0","XRCC6

","false","Rectangle","XRCC6

","false","GeneProduct","90.0","Ensembl","ENSG00000196419"
,"1.0",,"#000000","ENSG00000117450","#ffffff","f2b11","25.0",,"Arial","13.0","PRDX1

","false","Rectangle","PRDX1

","false","GeneProduct","90.0","Ensembl","ENSG00000117450"
,"1.0",,"#666666","ENSG00000094631","#ffffff","cd330","25.0",,"Arial Bold","13.0","HDAC6","false","Rectangle","HDAC6","false","GeneProduct","90.0","Ensembl","ENSG00000094631"
,"1.0",,"#000000","ENSG00000167815","#ffffff","a38f2","25.0",,"Arial","13.0","PRDX2
","false","Rectangle","PRDX2
","false","GeneProduct","90.0","Ensembl","ENSG00000167815"
,"1.0",,"#000000","ENSG00000086061","#ffffff","ab19a","25.0",,"Arial","13.0","DNAJA1
","false","Rectangle","DNAJA1
","false","GeneProduct","90.0","Ensembl","ENSG00000086061"
