BorderStyle,BorderThickness,ChEBI,Color,Ensembl,FillColor,GraphID,Height,IsGPMLShape,LabelFont,LabelSize,name,selected,Shape,shared name,Transparent,Type,Width,XrefDatasource,XrefId
,1,,#0000ff,,#ffffff,d71e8,26.73091625933216,,Arial,13,Velvet Antler Polypeptides (VAP),FALSE,Rectangle,Velvet Antler Polypeptides (VAP),FALSE,Metabolite,199.39679587508067,,
,1,,#000000,ENSG00000100345,#ffffff,aa850,25,,Arial,13,MYH9,FALSE,Rectangle,MYH9,FALSE,GeneProduct,90,Ensembl,ENSG00000100345
,1,,#000000,ENSG00000127824,#ffffff,e704c,25,,Arial,13,TUBA4A,FALSE,Rectangle,TUBA4A,FALSE,GeneProduct,90,Ensembl,ENSG00000127824
,1,,#000000,ENSG00000089685,#ffffff,f6a3d,25,,Arial,13,BIRC5,FALSE,Rectangle,BIRC5,FALSE,GeneProduct,90,Ensembl,ENSG00000089685
,1,,#000000,ENSG00000026025,#ffffff,e24d7,25,,Arial,13,VIM,FALSE,Rectangle,VIM,FALSE,Protein,90,Ensembl,ENSG00000026025
,1,,#000000,ENSG00000165280,#ffffff,a09d6,25,,Arial,13,VCP,FALSE,Rectangle,VCP,FALSE,GeneProduct,90,Ensembl,ENSG00000165280
,1,,#0000ff,,#ffffff,ecfa6,25,,Arial,13,Donepezil,FALSE,Rectangle,Donepezil,FALSE,Metabolite,90,,
,1,,#000000,,#ffffff,edb2f,25,,Arial,13,tat,FALSE,Rectangle,tat,FALSE,GeneProduct,90,Entrez Gene,155871
,1,,#0000ff,,#ffffff,f0606,25,,Arial,13,Oligomycin A,FALSE,Rectangle,Oligomycin A,FALSE,Metabolite,90,,
,1,,#000000,ENSG00000131711,#ffffff,d15db,25,,Arial,13,MAP1B,FALSE,Rectangle,MAP1B,FALSE,Protein,90,Ensembl,ENSG00000131711
,1,,#000000,ENSG00000105723,#ffffff,aad9f,25,,Arial,13,GSK3A,FALSE,Rectangle,GSK3A,FALSE,GeneProduct,90,Ensembl,ENSG00000105723
,1,,#3333ff,,#ffffff,a75d8,25,,Arial,13,Sevoflurane,FALSE,Rectangle,Sevoflurane,FALSE,Metabolite,90,,
