"BorderStyle","BorderThickness","ChEBI","Color","Ensembl","FillColor","GraphID","Height","IsGPMLShape","LabelFont","LabelSize","name","selected","Shape","shared name","Transparent","Type","Width","XrefDatasource","XrefId"
,"1.0",,"#000000","ENSG00000100393","#ffffff","a37ea","25.0",,"Arial","13.0","EP300

","false","Rectangle","EP300

","false","GeneProduct","90.0","Ensembl","ENSG00000100393"
,"1.0",,"#000000","ENSG00000163492","#ffffff","dc3ad","25.0",,"Arial","13.0","CCDC141

","false","Rectangle","CCDC141

","false","GeneProduct","90.0","Ensembl","ENSG00000163492"
,"1.0",,"#000000","ENSG00000186868","#ffffff","e3716","25.0",,"Arial","13.0","MAPT
","false","Rectangle","MAPT
","false","GeneProduct","90.0","Ensembl","ENSG00000186868"
,"1.0",,"#000000","ENSG00000055955","#ffffff","b49a0","25.0",,"Arial","13.0","ITIH4","false","Rectangle","ITIH4","false","Protein","90.0","Ensembl","ENSG00000055955"
,"1.0",,"#000000","ENSG00000113580","#ffffff","b08ee","25.0",,"Arial","13.0","NR3C1","false","Rectangle","NR3C1","false","GeneProduct","90.0","Ensembl","ENSG00000113580"
,"1.0",,"#000000","ENSG00000171132","#ffffff","e86e2","25.0",,"Arial","13.0","PRKCE

","false","Rectangle","PRKCE

","false","GeneProduct","90.0","Ensembl","ENSG00000171132"
,"1.0",,"#000000","ENSG00000116691","#ffffff","c9b7d","25.0",,"Arial","13.0","MIIP

","false","Rectangle","MIIP

","false","GeneProduct","90.0","Ensembl","ENSG00000116691"
,"1.0",,"#000000","ENSG00000120948","#ffffff","dfd2d","25.0",,"Arial","13.0","TARDBP

","false","Rectangle","TARDBP

","false","GeneProduct","90.0","Ensembl","ENSG00000120948"
,"1.0",,"#000000","ENSG00000089280","#ffffff","af872","25.0",,"Arial","13.0","FUS
","false","Rectangle","FUS
","false","GeneProduct","90.0","Ensembl","ENSG00000089280"
,"1.0",,"#000000","ENSG00000089159","#ffffff","a914a","25.0",,"Arial","13.0","PXN
","false","Rectangle","PXN
","false","GeneProduct","90.0","Ensembl","ENSG00000089159"
,"1.0",,"#000000","ENSG00000157554","#ffffff","f9a5b","25.0",,"Arial","13.0","ERG","false","Rectangle","ERG","false","GeneProduct","90.0","Ensembl","ENSG00000157554"
,"1.0",,"#000000","ENSG00000159363","#ffffff","d2d23","25.0",,"Arial","13.0","ATP13A2","false","Rectangle","ATP13A2","false","Protein","90.0","Ensembl","ENSG00000159363"
,"1.0",,"#666666","ENSG00000094631","#ffffff","ba585","25.0",,"Arial Bold","13.0","HDAC6","false","Rectangle","HDAC6","false","GeneProduct","90.0","Ensembl","ENSG00000094631"
,"1.0",,"#000000",,"#ffffff","edb2f","25.0",,"Arial","13.0","tat","false","Rectangle","tat","false","GeneProduct","90.0","Entrez Gene","155871"
,"1.0",,"#000000","ENSG00000161011","#ffffff","e200b","25.0",,"Arial","13.0","SQSTM1

","false","Rectangle","SQSTM1

","false","GeneProduct","90.0","Ensembl","ENSG00000161011"
,"1.0",,"#000000","ENSG00000204531","#ffffff","f82d4","25.0",,"Arial","13.0","POU5F1","false","Rectangle","POU5F1","false","GeneProduct","90.0","Ensembl","ENSG00000204531"
,"1.0",,"#000000","ENSG00000103266","#ffffff","a838b","25.0",,"Arial","13.0","STUB1
","false","Rectangle","STUB1
","false","GeneProduct","90.0","Ensembl","ENSG00000103266"
