Identifier	Database
ENSG00000100345	Ensembl
ENSG00000127824	Ensembl
ENSG00000089685	Ensembl
ENSG00000026025	Ensembl
ENSG00000165280	Ensembl
155871	Entrez Gene
ENSG00000131711	Ensembl
ENSG00000105723	Ensembl
ENSG00000113580	Ensembl
ENSG00000172936	Ensembl
ENSG00000164690	Ensembl
ENSG00000109971	Ensembl
ENSG00000160145	Ensembl
ENSG00000170606	Ensembl
ENSG00000055955	Ensembl
ENSG00000120899	Ensembl
ENSG00000197442	Ensembl
ENSG00000122545 	Ensembl
ENSG00000145335	Ensembl
ENSG00000159363	Ensembl
ENSG00000204531	Ensembl
ENSG00000116017	Ensembl
ENSG00000123240	Ensembl
ENSG00000116288	Ensembl
ENSG00000113580	Ensembl
ENSG00000101367	Ensembl
ENSG00000116691	Ensembl
ENSG00000138107	Ensembl
ENSG00000089159	Ensembl
ENSG00000122691	Ensembl
ENSG00000165168	Ensembl
ENSG00000103266	Ensembl
ENSG00000066427	Ensembl
ENSG00000094631	Ensembl
ENSG00000176697	Ensembl
ENSG00000130203	Ensembl
ENSG00000214413	Ensembl
ENSG00000186868	Ensembl
ENSG00000163517	Ensembl
ENSG00000157554	Ensembl
ENSG00000048052	Ensembl
ENSG00000161011	Ensembl
ENSG00000146755	Ensembl
ENSG00000213886	Ensembl
ENSG00000145907	Ensembl
ENSG00000171368	Ensembl
ENSG00000171132	Ensembl
ENSG00000175387	Ensembl
ENSG00000007062	Ensembl
ENSG00000119318	Ensembl
ENSG00000142208	Ensembl
ENSG00000001626	Ensembl
ENSG00000187608	Ensembl
ENSG00000100393	Ensembl
ENSG00000142168	Ensembl
ENSG00000173020	Ensembl
ENSG00000082701	Ensembl
ENSG00000067606	Ensembl
ENSG00000146648	Ensembl
ENSG00000087586	Ensembl
ENSG00000102882	Ensembl
ENSG00000100030	Ensembl
ENSG00000068903	Ensembl
ENSG00000094631	Ensembl
ENSG00000094631	Ensembl
ENSG00000117399	Ensembl
ENSG00000163517	Ensembl
ENSG00000080824	Ensembl
ENSG00000185122	Ensembl
ENSG00000094631	Ensembl
ENSG00000168036	Ensembl
ENSG00000007062	Ensembl
ENSG00000094631	Ensembl
ENSG00000070061	Ensembl
ENSG00000107643	Ensembl
ENSG00000094631	Ensembl
ENSG00000183495	Ensembl
ENSG00000172977	Ensembl
ENSG00000094631	Ensembl
ENSG00000175387	Ensembl
ENSG00000117399	Ensembl
ENSG00000134982	Ensembl
ENSG00000117399	Ensembl
ENSG00000136238	Ensembl
ENSG00000132535	Ensembl
ENSG00000150672	Ensembl
ENSG00000064692	Ensembl
ENSG00000197386	Ensembl
ENSG00000134014	Ensembl
ENSG00000172531	Ensembl
ENSG00000094631	Ensembl
ENSG00000104205	Ensembl
ENSG00000118515	Ensembl
ENSG00000101460	Ensembl
ENSG00000111859	Ensembl
ENSG00000094631	Ensembl
ENSG00000094631	Ensembl
ENSG00000204435	Ensembl
ENSG00000204843	Ensembl
ENSG00000120251	Ensembl
ENSG00000155511	Ensembl
ENSG00000120948	Ensembl
ENSG00000089280	Ensembl
ENSG00000077380	Ensembl
ENSG00000094631	Ensembl
ENSG00000094631	Ensembl
ENSG00000170606	Ensembl
ENSG00000186868	Ensembl
ENSG00000070770	Ensembl
ENSG00000014641	Ensembl
ENSG00000167792	Ensembl
ENSG00000240972	Ensembl
ENSG00000126858	Ensembl
ENSG00000113300	Ensembl
ENSG00000109971	Ensembl
ENSG00000185591	Ensembl
ENSG00000049768	Ensembl
ENSG00000163492	Ensembl
ENSG00000100644	Ensembl
ENSG00000185345	Ensembl
ENSG00000106105	Ensembl
ENSG00000106211	Ensembl
ENSG00000085733	Ensembl
ENSG00000168036	Ensembl
ENSG00000196419	Ensembl
ENSG00000117450	Ensembl
ENSG00000167815	Ensembl
ENSG00000086061	Ensembl
ENSG00000080824	Ensembl
ENSG00000196230	Ensembl
ENSG00000258947	Ensembl
ENSG00000167553	Ensembl
ENSG00000198033	Ensembl
ENSG00000101665	Ensembl
155871	Uniprot-SwissProt
ENSG00000127824	Ensembl
ENSG00000094631	Ensembl
ENSG00000067606	Ensembl
ENSG00000186868	Ensembl
ENSG00000094631	Ensembl
ENSG00000185345	Ensembl
ENSG00000080824	Ensembl
ENSG00000185122	Ensembl
ENSG00000094631	Ensembl
ENSG00000094631	Ensembl
ENSG00000094631	Ensembl
ENSG00000094631	Ensembl
ENSG00000094631	Ensembl
ENSG00000094631	Ensembl
ENSG00000134982	Ensembl
ENSG00000196419	Ensembl
ENSG00000087088	Ensembl
ENSG00000134086	Ensembl
ENSG00000094631	Ensembl
ENSG00000134086	Ensembl
ENSG00000160145	Ensembl
ENSG00000161011	Ensembl
ENSG00000171791	Ensembl
ENSG00000087088	Ensembl
