Gene	Gene.name	Level
ENSG00000291316	ENSG00000291316	Medium
ENSG00000291237	SOD2	High
ENSG00000290292	HOMEZ	Medium
ENSG00000289694	ENSG00000289694	Medium
ENSG00000288859	H2AC19	High
ENSG00000288825	H2AC18	High
ENSG00000288796	ENSG00000288796	Low
ENSG00000288701	PRRC2B	High
ENSG00000288602	C8orf44-SGK3	Medium
ENSG00000288558	DUS4L-BCAP29	High
ENSG00000287080	H3C3	High
ENSG00000286522	H3C2	High
ENSG00000286140	DERPC	Medium
ENSG00000285304	ENSG00000285304	Medium
ENSG00000285292	ABCF2-H2BK1	Medium
ENSG00000285053	TBCE	High
ENSG00000284981	UPK3BL2	Low
ENSG00000284922	LRTOMT	Medium
ENSG00000284770	TBCE	High
ENSG00000283782	ENSG00000283782	High
ENSG00000283632	EXOC3L2	Low
ENSG00000283496	ZNF511-PRAP1	Low
ENSG00000283154	IQCJ-SCHIP1	High
ENSG00000280987	MATR3	High
ENSG00000278845	MRPL45	High
ENSG00000278828	H3C10	High
ENSG00000278705	H4C2	High
ENSG00000278677	H2AC17	High
ENSG00000278637	H4C1	High
ENSG00000278619	MRM1	Low
ENSG00000278588	H2BC10	High
ENSG00000278540	ACACA	Medium
ENSG00000278463	H2AC4	High
ENSG00000278311	GGNBP2	High
ENSG00000278259	MYO19	High
ENSG00000278224	PRICKLE4	High
ENSG00000278195	SSTR3	High
ENSG00000277972	CISD3	Medium
ENSG00000277791	PSMB3	Medium
ENSG00000277775	H3C7	High
ENSG00000277758	SYT15B	High
ENSG00000277586	NEFL	High
ENSG00000277443	MARCKS	High
ENSG00000277363	SRCIN1	Medium
ENSG00000277224	H2BC7	High
ENSG00000277157	H4C4	High
ENSG00000277149	TYW1B	High
ENSG00000277075	H2AC8	High
ENSG00000276966	H4C5	High
ENSG00000276903	H2AC16	High
ENSG00000276644	DACH1	High
ENSG00000276410	H2BC3	High
ENSG00000276368	H2AC14	High
ENSG00000276231	PIK3R6	Medium
ENSG00000276180	H4C9	High
ENSG00000276045	ORAI1	Medium
ENSG00000276043	UHRF1	Low
ENSG00000276023	DUSP14	High
ENSG00000275835	TUBGCP5	High
ENSG00000275832	ARHGAP23	High
ENSG00000275740	ENSG00000275740	Medium
ENSG00000275714	H3C1	High
ENSG00000275713	H2BC9	High
ENSG00000275663	H4C7	High
ENSG00000275379	H3C11	High
ENSG00000275221	H2AC15	High
ENSG00000275183	LENG9	Low
ENSG00000275126	H4C13	High
ENSG00000275074	NUDT18	Low
ENSG00000275066	SYNRG	High
ENSG00000275052	PPP4R3B	Medium
ENSG00000275023	MLLT6	Medium
ENSG00000274997	H2AC12	High
ENSG00000274750	H3C6	High
ENSG00000274641	H2BC17	High
ENSG00000274618	H4C6	High
ENSG00000274611	TBC1D3	Low
ENSG00000274523	RCC1L	Medium
ENSG00000274290	H2BC6	High
ENSG00000274286	ADRA2B	High
ENSG00000274211	SOCS7	High
ENSG00000274070	CASTOR2	Low
ENSG00000273983	H3C8	High
ENSG00000273841	TAF9	Medium
ENSG00000273802	H2BC8	High
ENSG00000273749	CYFIP1	Medium
ENSG00000273706	LHX1	High
ENSG00000273703	H2BC14	High
ENSG00000273611	ZNHIT3	Medium
ENSG00000273604	EPOP	Medium
ENSG00000273559	CWC25	High
ENSG00000273542	H4C12	High
ENSG00000273213	H3-7	High
ENSG00000273079	GRIN2B	High
ENSG00000272886	DCP1A	Medium
ENSG00000272514	CFAP206	Low
ENSG00000272414	FAM47E-STBD1	High
ENSG00000272398	CD24	High
ENSG00000272391	POM121C	Medium
ENSG00000271425	NBPF10	Medium
ENSG00000270882	H4C14	High
ENSG00000270757	HSPE1-MOB4	Medium
ENSG00000270647	TAF15	High
ENSG00000270276	H4C15	High
ENSG00000270011	ZNF559-ZNF177	High
ENSG00000269955	FMC1-LUC7L2	High
ENSG00000269713	NBPF9	Medium
ENSG00000269113	TRABD2B	Medium
ENSG00000268799	H3Y2	High
ENSG00000268500	SIGLEC5	Medium
ENSG00000268350	FAM156A	Medium
ENSG00000268182	SMIM17	Medium
ENSG00000268043	NBPF12	Medium
ENSG00000267855	NDUFA7	High
ENSG00000267680	ZNF224	Medium
ENSG00000267673	FDX2	Medium
ENSG00000267561	ENSG00000267561	High
ENSG00000267368	UPK3BL1	Low
ENSG00000266967	AARSD1	Low
